,DATETIMEDATA,PM25,CO,NO2,TEMP,RH
195,2024-01-09 03:00:00,23.2,0.37,0.0,27,77
196,2024-01-09 04:00:00,20.7,0.34,0.0,27,77
197,2024-01-09 05:00:00,20.0,0.33,1.0,27,79
198,2024-01-09 06:00:00,21.1,0.38,3.0,27,79
199,2024-01-09 07:00:00,23.3,0.59,8.0,27,76
200,2024-01-09 08:00:00,24.7,0.46,4.0,29,68
201,2024-01-09 09:00:00,24.0,0.47,2.0,30,64
202,2024-01-09 10:00:00,24.7,0.5,5.29,32,57
203,2024-01-09 11:00:00,21.7,0.49,4.0,33,54
204,2024-01-09 12:00:00,25.1,0.5,4.0,34,49
205,2024-01-09 13:00:00,26.6,0.52,3.0,34,48
206,2024-01-09 14:00:00,29.7,0.51,5.0,35,47
207,2024-01-09 15:00:00,27.5,0.47,5.0,35,47
208,2024-01-09 16:00:00,28.3,0.55,7.0,35,47
209,2024-01-09 17:00:00,29.8,0.55,12.0,33,54
210,2024-01-09 18:00:00,31.6,0.59,13.0,31,60
211,2024-01-09 19:00:00,29.4,0.56,10.0,30,66
212,2024-01-09 20:00:00,34.8,0.57,9.0,30,67
213,2024-01-09 21:00:00,30.4,0.52,6.0,29,71
214,2024-01-09 22:00:00,30.7,0.47,5.0,29,74
215,2024-01-09 23:00:00,29.0,0.42,3.0,29,74
216,2024-01-10 00:00:00,27.0,0.42,1.0,29,76
217,2024-01-10 01:00:00,26.9,0.43,2.0,28,76
218,2024-01-10 02:00:00,29.2,0.44,1.0,28,80
219,2024-01-10 03:00:00,32.3,0.46,1.0,28,83
220,2024-01-10 04:00:00,32.8,0.49,0.0,28,81
221,2024-01-10 05:00:00,37.5,0.48,0.0,27,81
222,2024-01-10 06:00:00,35.9,0.44,1.0,27,81
223,2024-01-10 07:00:00,33.0,0.52,6.0,28,80
224,2024-01-10 08:00:00,34.7,0.53,3.0,29,73
225,2024-01-10 09:00:00,31.6,0.5,2.0,31,65
226,2024-01-10 10:00:00,29.6,0.5,5.0,32,60
227,2024-01-10 11:00:00,22.3,0.5,5.29,33,57
228,2024-01-10 12:00:00,27.6,0.46,3.0,32,59
229,2024-01-10 13:00:00,45.5,0.56,4.0,32,61
230,2024-01-10 14:00:00,32.4,0.54,8.0,34,53
231,2024-01-10 15:00:00,36.0,0.52,5.0,34,53
232,2024-01-10 16:00:00,34.4,0.55,7.0,34,52
233,2024-01-10 17:00:00,33.4,0.54,10.0,32,56
234,2024-01-10 18:00:00,29.7,0.57,12.0,31,63
235,2024-01-10 19:00:00,33.8,0.69,18.0,30,71
236,2024-01-10 20:00:00,37.2,0.65,14.0,30,73
237,2024-01-10 21:00:00,38.2,0.58,7.0,30,72
238,2024-01-10 22:00:00,38.4,0.46,3.0,30,71
239,2024-01-10 23:00:00,29.0,0.36,1.0,29,72
240,2024-01-11 00:00:00,29.6,0.32,1.0,28,75
241,2024-01-11 01:00:00,24.0,0.31,0.0,28,76
242,2024-01-11 02:00:00,25.2,0.33,0.0,28,79
243,2024-01-11 03:00:00,24.4,0.32,0.0,27,81
244,2024-01-11 04:00:00,23.0,0.38,2.0,27,84
245,2024-01-11 05:00:00,23.9,0.33,0.0,27,82
246,2024-01-11 06:00:00,24.2,0.34,2.0,27,81
247,2024-01-11 07:00:00,22.8,0.53,8.0,27,78
248,2024-01-11 08:00:00,23.8,0.41,3.0,30,65
249,2024-01-11 09:00:00,20.4,0.41,3.0,32,59
250,2024-01-11 10:00:00,25.6,0.43,4.0,32,56
251,2024-01-11 11:00:00,28.0,0.4,4.0,34,52
252,2024-01-11 12:00:00,20.4,0.5,5.29,34,50
253,2024-01-11 13:00:00,25.5,0.4,4.0,35,48
254,2024-01-11 14:00:00,29.7,0.4,3.0,36,44
255,2024-01-11 15:00:00,24.9,0.4,3.0,36,43
256,2024-01-11 16:00:00,23.4,0.42,5.0,36,44
257,2024-01-11 17:00:00,22.9,0.42,7.0,34,48
258,2024-01-11 18:00:00,24.2,0.53,14.0,32,58
259,2024-01-11 19:00:00,30.7,0.58,15.0,30,67
260,2024-01-11 20:00:00,34.3,0.59,12.0,30,71
261,2024-01-11 21:00:00,36.1,0.6,12.0,29,73
262,2024-01-11 22:00:00,37.9,0.54,9.0,29,75
263,2024-01-11 23:00:00,32.5,0.38,3.0,29,72
264,2024-01-12 00:00:00,28.2,0.32,1.0,28,72
265,2024-01-12 01:00:00,25.5,0.3,0.0,28,74
266,2024-01-12 02:00:00,27.3,0.37,0.0,27,76
267,2024-01-12 03:00:00,28.1,0.41,2.0,27,78
268,2024-01-12 04:00:00,26.9,0.39,0.0,27,76
269,2024-01-12 05:00:00,25.2,0.39,4.0,27,76
270,2024-01-12 06:00:00,24.3,0.37,4.0,27,74
271,2024-01-12 07:00:00,22.3,0.48,7.0,28,72
272,2024-01-12 08:00:00,25.9,0.46,5.0,29,68
273,2024-01-12 09:00:00,22.4,0.47,5.0,30,66
274,2024-01-12 10:00:00,22.8,0.42,3.0,30,64
275,2024-01-12 11:00:00,22.7,0.44,13.0,32,57
276,2024-01-12 12:00:00,25.4,0.44,5.0,34,51
277,2024-01-12 13:00:00,21.4,0.5,5.29,33,54
278,2024-01-12 14:00:00,24.4,0.43,4.0,35,47
279,2024-01-12 15:00:00,23.6,0.45,5.0,34,49
280,2024-01-12 16:00:00,25.5,0.51,8.0,33,53
281,2024-01-12 17:00:00,27.3,0.49,8.0,32,60
282,2024-01-12 18:00:00,28.7,0.55,13.0,30,66
283,2024-01-12 19:00:00,34.6,0.58,16.0,29,70
284,2024-01-12 20:00:00,30.4,0.51,14.0,29,71
285,2024-01-12 21:00:00,28.0,0.59,16.0,29,71
286,2024-01-12 22:00:00,28.3,0.54,13.0,29,71
287,2024-01-12 23:00:00,27.6,0.48,11.0,28,73
288,2024-01-13 00:00:00,31.8,0.49,11.0,28,78
289,2024-01-13 01:00:00,29.3,0.45,9.0,27,82
290,2024-01-13 02:00:00,30.8,0.51,8.0,27,85
291,2024-01-13 03:00:00,32.5,0.37,2.0,27,87
292,2024-01-13 04:00:00,24.2,0.38,2.0,27,83
293,2024-01-13 05:00:00,25.9,0.38,4.0,26,84
294,2024-01-13 06:00:00,26.8,0.46,9.0,26,87
295,2024-01-13 07:00:00,26.8,0.55,10.0,27,79
296,2024-01-13 08:00:00,29.6,0.45,7.0,29,70
297,2024-01-13 09:00:00,31.7,0.49,12.0,31,63
298,2024-01-13 10:00:00,30.5,0.47,6.0,31,61
299,2024-01-13 11:00:00,34.1,0.44,5.0,31,58
300,2024-01-13 12:00:00,28.2,0.44,4.0,33,52
301,2024-01-13 13:00:00,29.0,0.44,5.0,33,52
302,2024-01-13 14:00:00,29.8,0.5,5.29,34,50
303,2024-01-13 15:00:00,26.3,0.48,4.0,35,46
304,2024-01-13 16:00:00,26.4,0.45,4.0,35,45
305,2024-01-13 17:00:00,30.1,0.44,6.0,33,50
306,2024-01-13 18:00:00,28.0,0.52,9.0,31,64
307,2024-01-13 19:00:00,34.2,0.58,12.0,30,71
308,2024-01-13 20:00:00,38.0,0.53,10.0,29,73
309,2024-01-13 21:00:00,27.7,0.56,13.0,29,74
310,2024-01-13 22:00:00,35.1,0.59,15.0,29,75
311,2024-01-13 23:00:00,33.6,0.43,3.0,28,68
312,2024-01-14 00:00:00,24.2,0.39,2.0,28,66
313,2024-01-14 01:00:00,25.7,0.5,5.29,28,68
314,2024-01-14 02:00:00,28.1,0.39,0.0,27,67
315,2024-01-14 03:00:00,27.0,0.45,0.0,27,71
316,2024-01-14 04:00:00,24.6,0.41,0.0,27,75
317,2024-01-14 05:00:00,24.8,0.42,2.0,26,76
318,2024-01-14 06:00:00,26.9,0.38,2.0,26,76
319,2024-01-14 07:00:00,25.8,0.43,5.0,27,75
320,2024-01-14 08:00:00,30.7,0.48,4.0,29,66
321,2024-01-14 09:00:00,28.0,0.49,2.0,30,61
322,2024-01-14 10:00:00,43.8,0.48,3.0,32,55
323,2024-01-14 11:00:00,27.9,0.47,3.0,32,54
324,2024-01-14 12:00:00,31.8,0.49,4.0,33,53
325,2024-01-14 13:00:00,31.8,0.48,5.0,33,55
326,2024-01-14 14:00:00,33.9,0.45,1.0,32,57
327,2024-01-14 15:00:00,28.5,0.5,5.29,33,56
328,2024-01-14 16:00:00,28.9,0.46,2.0,33,54
329,2024-01-14 17:00:00,29.3,0.52,6.0,31,62
330,2024-01-14 18:00:00,31.7,0.65,10.0,30,64
331,2024-01-14 19:00:00,36.6,0.73,11.0,29,69
332,2024-01-14 20:00:00,47.6,0.64,11.0,29,68
333,2024-01-14 21:00:00,50.4,0.55,6.0,29,62
334,2024-01-14 22:00:00,41.3,0.57,15.0,29,64
335,2024-01-14 23:00:00,32.0,0.45,8.0,28,68
336,2024-01-15 00:00:00,35.5,0.41,2.0,27,71
337,2024-01-15 01:00:00,31.0,0.38,1.0,27,74
338,2024-01-15 02:00:00,32.8,0.42,0.0,27,76
339,2024-01-15 03:00:00,30.3,0.46,1.0,27,78
340,2024-01-15 04:00:00,26.7,0.39,0.0,26,78
341,2024-01-15 05:00:00,28.9,0.35,1.0,26,77
342,2024-01-15 06:00:00,29.4,0.42,4.0,26,78
343,2024-01-15 07:00:00,32.4,0.56,12.0,27,76
344,2024-01-15 08:00:00,35.6,0.54,6.0,29,69
345,2024-01-15 09:00:00,36.9,0.52,4.0,30,59
346,2024-01-15 10:00:00,31.4,0.49,4.0,32,54
347,2024-01-15 11:00:00,26.8,0.44,5.0,33,52
348,2024-01-15 12:00:00,27.6,0.43,4.0,33,51
349,2024-01-15 13:00:00,29.1,0.51,6.0,35,47
350,2024-01-15 14:00:00,28.9,0.49,5.0,35,45
351,2024-01-15 15:00:00,28.5,0.5,5.0,35,44
352,2024-01-15 16:00:00,27.1,0.5,5.29,35,44
353,2024-01-15 17:00:00,32.8,0.51,8.0,33,49
354,2024-01-15 18:00:00,30.8,0.6,13.0,32,56
355,2024-01-15 19:00:00,33.1,0.58,10.0,31,61
356,2024-01-15 20:00:00,38.6,0.57,9.0,30,64
357,2024-01-15 21:00:00,36.3,1.06,13.0,30,67
358,2024-01-15 22:00:00,36.2,0.51,5.0,29,66
359,2024-01-15 23:00:00,40.7,0.46,3.0,29,66
360,2024-01-16 00:00:00,35.6,0.47,1.0,29,69
361,2024-01-16 01:00:00,36.6,0.37,1.0,28,69
362,2024-01-16 02:00:00,23.2,0.38,0.0,27,70
363,2024-01-16 03:00:00,18.3,0.41,5.29,27,71
364,2024-01-16 04:00:00,17.5,0.43,0.0,27,72
365,2024-01-16 05:00:00,22.9,0.39,1.0,27,73
366,2024-01-16 06:00:00,23.3,0.45,5.0,27,76
367,2024-01-16 07:00:00,22.9,0.55,8.0,28,74
368,2024-01-16 08:00:00,31.1,0.58,8.0,30,64
369,2024-01-16 09:00:00,32.7,0.55,5.0,31,59
370,2024-01-16 10:00:00,27.3,0.52,4.0,33,53
371,2024-01-16 11:00:00,31.1,0.47,5.0,33,51
372,2024-01-16 12:00:00,31.0,0.48,5.0,34,49
373,2024-01-16 13:00:00,33.0,0.53,5.0,34,49
374,2024-01-16 14:00:00,34.4,0.49,6.0,35,47
375,2024-01-16 15:00:00,30.2,0.52,6.0,35,47
376,2024-01-16 16:00:00,28.3,0.5,6.0,34,52
377,2024-01-16 17:00:00,31.4,0.5,5.29,32,54
378,2024-01-16 18:00:00,23.3,0.51,7.0,31,60
379,2024-01-16 19:00:00,20.2,0.47,5.0,30,60
380,2024-01-16 20:00:00,23.2,0.49,4.0,29,73
381,2024-01-16 21:00:00,26.2,0.49,3.0,28,77
382,2024-01-16 22:00:00,21.0,0.45,2.0,28,78
383,2024-01-16 23:00:00,27.0,0.39,1.0,28,77
384,2024-01-17 00:00:00,27.6,0.44,1.0,28,78
385,2024-01-17 01:00:00,32.4,0.46,0.0,28,78
386,2024-01-17 02:00:00,38.8,0.49,0.0,28,78
387,2024-01-17 03:00:00,35.6,0.52,0.0,27,76
388,2024-01-17 04:00:00,32.6,0.48,0.0,27,73
389,2024-01-17 05:00:00,33.0,0.42,0.0,27,72
390,2024-01-17 06:00:00,30.6,0.43,2.0,27,73
391,2024-01-17 07:00:00,33.0,0.52,5.0,28,73
392,2024-01-17 08:00:00,32.7,0.5,5.0,29,68
393,2024-01-17 09:00:00,30.9,0.44,4.0,31,61
394,2024-01-17 10:00:00,28.8,0.39,4.0,32,58
395,2024-01-17 11:00:00,27.1,0.39,3.0,32,58
396,2024-01-17 12:00:00,20.3,0.42,2.0,33,52
397,2024-01-17 13:00:00,19.6,0.43,3.0,35,46
398,2024-01-17 14:00:00,20.8,0.39,4.0,35,48
399,2024-01-17 15:00:00,18.7,0.42,3.0,33,58
400,2024-01-17 16:00:00,18.2,0.4,4.0,34,56
401,2024-01-17 17:00:00,16.2,0.37,4.0,32,60
402,2024-01-17 18:00:00,18.8,0.5,5.29,30,64
403,2024-01-17 19:00:00,20.5,0.52,9.0,30,64
404,2024-01-17 20:00:00,21.0,0.44,8.0,29,67
405,2024-01-17 21:00:00,24.2,0.65,10.0,29,69
406,2024-01-17 22:00:00,24.8,0.48,5.0,29,72
407,2024-01-17 23:00:00,23.3,0.37,2.0,29,72
408,2024-01-18 00:00:00,29.6,0.37,0.0,29,71
409,2024-01-18 01:00:00,26.7,0.39,0.0,28,73
410,2024-01-18 02:00:00,27.3,0.41,5.29,28,74
411,2024-01-18 03:00:00,35.3,0.41,0.0,28,76
412,2024-01-18 04:00:00,30.7,0.4,0.0,27,77
413,2024-01-18 05:00:00,29.5,0.37,1.0,27,79
414,2024-01-18 06:00:00,30.7,0.42,5.0,27,81
415,2024-01-18 07:00:00,28.9,0.65,14.0,28,77
416,2024-01-18 08:00:00,27.2,0.5,6.0,30,65
417,2024-01-18 09:00:00,32.4,0.51,9.0,31,58
418,2024-01-18 10:00:00,32.2,0.47,5.0,32,54
444,2024-01-19 12:00:00,19.0,0.38,3.0,33,55
445,2024-01-19 13:00:00,22.2,0.43,3.0,34,49
446,2024-01-19 14:00:00,20.7,0.42,5.0,34,51
447,2024-01-19 15:00:00,22.9,0.49,6.0,35,49
448,2024-01-19 16:00:00,22.9,0.51,7.0,34,49
593,2024-01-25 17:00:00,12.1,0.5,7.0,32,57
594,2024-01-25 18:00:00,15.5,0.51,5.0,30,63
595,2024-01-25 19:00:00,26.2,0.47,4.0,30,66
596,2024-01-25 20:00:00,20.8,0.43,2.0,29,68
597,2024-01-25 21:00:00,21.9,0.4,1.0,29,69
598,2024-01-25 22:00:00,22.3,0.36,1.0,29,70
599,2024-01-25 23:00:00,23.3,0.36,0.0,28,71
600,2024-01-26 00:00:00,16.4,0.36,5.29,28,72
601,2024-01-26 01:00:00,25.5,0.38,5.29,28,73
602,2024-01-26 02:00:00,20.1,0.5,5.29,28,73
603,2024-01-26 03:00:00,19.1,0.37,5.29,28,73
604,2024-01-26 04:00:00,21.2,0.33,5.29,28,71
605,2024-01-26 05:00:00,21.1,0.34,5.29,28,69
606,2024-01-26 06:00:00,18.2,0.36,0.0,28,68
607,2024-01-26 07:00:00,20.7,0.51,4.0,28,68
608,2024-01-26 08:00:00,21.2,0.48,4.0,29,64
609,2024-01-26 09:00:00,23.0,0.49,3.0,30,61
610,2024-01-26 10:00:00,19.4,0.44,4.0,31,58
611,2024-01-26 11:00:00,19.1,0.51,5.0,33,51
612,2024-01-26 12:00:00,21.1,0.51,4.0,34,46
613,2024-01-26 13:00:00,22.3,0.47,4.0,35,45
614,2024-01-26 14:00:00,21.7,0.45,5.0,34,47
615,2024-01-26 15:00:00,19.5,0.47,7.0,33,49
616,2024-01-26 16:00:00,19.5,0.47,6.0,34,46
617,2024-01-26 17:00:00,17.5,0.57,8.0,32,54
