,Unnamed: 0,DATETIMEDATA,PM25,CO,NO2,TEMP,RH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
1020,1189,2024-02-19 13:00:00,22.3,0.47,3.0,33,56,23.7,22.5,23.2,24.0,25.1,26.0,26.8
1021,1190,2024-02-19 14:00:00,23.7,0.54,3.0,35,52,22.5,23.2,24.0,25.1,26.0,26.8,32.1
1022,1191,2024-02-19 15:00:00,22.5,0.5,3.0,34,53,23.2,24.0,25.1,26.0,26.8,32.1,29.2
1023,1192,2024-02-19 16:00:00,23.2,0.45,5.0,34,56,24.0,25.1,26.0,26.8,32.1,29.2,25.2
1024,1193,2024-02-19 17:00:00,24.0,0.59,11.0,32,60,25.1,26.0,26.8,32.1,29.2,25.2,28.3
1025,1194,2024-02-19 18:00:00,25.1,0.62,13.0,31,66,26.0,26.8,32.1,29.2,25.2,28.3,21.8
1026,1195,2024-02-19 19:00:00,26.0,0.52,8.0,30,72,26.8,32.1,29.2,25.2,28.3,21.8,24.6
1027,1196,2024-02-19 20:00:00,26.8,0.52,8.0,29,72,32.1,29.2,25.2,28.3,21.8,24.6,17.8
1028,1197,2024-02-19 21:00:00,32.1,0.49,5.0,30,71,29.2,25.2,28.3,21.8,24.6,17.8,21.3
1029,1198,2024-02-19 22:00:00,29.2,0.45,3.0,30,71,25.2,28.3,21.8,24.6,17.8,21.3,22.7
1030,1199,2024-02-19 23:00:00,25.2,0.4,2.0,30,71,28.3,21.8,24.6,17.8,21.3,22.7,21.0
1031,1200,2024-02-20 00:00:00,28.3,0.41,2.0,30,74,21.8,24.6,17.8,21.3,22.7,21.0,21.5
1032,1201,2024-02-20 01:00:00,21.8,0.36,0.0,29,76,24.6,17.8,21.3,22.7,21.0,21.5,24.2
1033,1202,2024-02-20 02:00:00,24.6,0.5,5.29,29,78,17.8,21.3,22.7,21.0,21.5,24.2,23.1
1034,1203,2024-02-20 03:00:00,17.8,0.41,1.0,28,77,21.3,22.7,21.0,21.5,24.2,23.1,22.4
1035,1204,2024-02-20 04:00:00,21.3,0.41,0.0,28,78,22.7,21.0,21.5,24.2,23.1,22.4,20.0
1036,1205,2024-02-20 05:00:00,22.7,0.42,2.0,28,82,21.0,21.5,24.2,23.1,22.4,20.0,22.8
1037,1206,2024-02-20 06:00:00,21.0,0.49,6.0,28,83,21.5,24.2,23.1,22.4,20.0,22.8,17.1
1038,1207,2024-02-20 07:00:00,21.5,0.61,7.0,29,79,24.2,23.1,22.4,20.0,22.8,17.1,18.2
1039,1208,2024-02-20 08:00:00,24.2,0.5,5.0,30,69,23.1,22.4,20.0,22.8,17.1,18.2,18.9
1040,1209,2024-02-20 09:00:00,23.1,0.47,4.0,32,61,22.4,20.0,22.8,17.1,18.2,18.9,21.0
1041,1210,2024-02-20 10:00:00,22.4,0.47,6.0,33,56,20.0,22.8,17.1,18.2,18.9,21.0,20.1
1042,1211,2024-02-20 11:00:00,20.0,0.46,3.0,34,51,22.8,17.1,18.2,18.9,21.0,20.1,27.0
1043,1212,2024-02-20 12:00:00,22.8,0.46,4.0,35,48,17.1,18.2,18.9,21.0,20.1,27.0,26.3
1044,1213,2024-02-20 13:00:00,17.1,0.47,4.0,36,44,18.2,18.9,21.0,20.1,27.0,26.3,24.3
1045,1214,2024-02-20 14:00:00,18.2,0.53,4.0,36,46,18.9,21.0,20.1,27.0,26.3,24.3,28.1
1046,1215,2024-02-20 15:00:00,18.9,0.46,2.0,34,50,21.0,20.1,27.0,26.3,24.3,28.1,24.6
1047,1216,2024-02-20 16:00:00,21.0,0.5,7.0,34,55,20.1,27.0,26.3,24.3,28.1,24.6,23.0
1048,1217,2024-02-20 17:00:00,20.1,0.58,9.0,33,61,27.0,26.3,24.3,28.1,24.6,23.0,21.1
1049,1218,2024-02-20 18:00:00,27.0,0.6,11.0,31,70,26.3,24.3,28.1,24.6,23.0,21.1,25.0
1050,1219,2024-02-20 19:00:00,26.3,0.54,10.0,30,73,24.3,28.1,24.6,23.0,21.1,25.0,21.8
1051,1220,2024-02-20 20:00:00,24.3,0.53,9.0,30,75,28.1,24.6,23.0,21.1,25.0,21.8,20.6
1052,1221,2024-02-20 21:00:00,28.1,0.51,7.0,29,75,24.6,23.0,21.1,25.0,21.8,20.6,20.3
1053,1222,2024-02-20 22:00:00,24.6,0.47,4.0,30,74,23.0,21.1,25.0,21.8,20.6,20.3,24.7
